feature,importance
V14,0.18325064161838003
V10,0.11461225146588692
V4,0.11415157361757686
V12,0.09867266986023689
V17,0.0893871877559126
V3,0.06057368820600269
V16,0.055694416379392854
V11,0.05260248565451914
V2,0.03259627862727731
V7,0.022523353072228667
V9,0.02008425832414551
V21,0.015579381356623902
V18,0.012631245990368377
Amount,0.012307939408860546
V8,0.01169065486430401
V19,0.011396278809114374
V20,0.0107003803513251
V27,0.010155490882703028
V1,0.008869707733682963
V13,0.008353173312834255
V26,0.008329818571533368
V5,0.007496243440865555
V6,0.005766290741942831
V15,0.005580613394978166
V22,0.005361352506240468
Time,0.005321128663056162
V28,0.004698206622716375
V25,0.004202738144394486
V23,0.003908761418563212
V24,0.003501789204333408
